connType,tau_r_AMPA,tau_d_AMPA,std_tau_d_AMPA,tau_r_NMDA,tau_d_NMDA,std_tau_d_NMDA,Use,Use_std,Dep,Dep_std,Fac,Fac_std,gmax,NMDA_ratio
SP_PC:SP_BS,0.5,4.12,,,148.5,0.09,0.23,0.09,410,11,10,0.1,1.65,0.28
SP_PC:SP_CCKBC,0.5,4.12,,,298.75,0.09,0.23,0.09,410,11,10,0.4,3.5,0.86
SP_PC:SP_Ivy,0.5,4.12,,,,,,0.02,617,5,17,0.4,2.3,
SP_PC:SP_PVBC,0.5,4.12,,,,,,0.09,410,11,10,0.05,2,
SP_PC:SO_Tri,,,,,,,,,,,,,,
SP_PC:SLM_PPA,,,,,,,,,,,,,,
SP_PC:SO_BP,,,,,,,,,,,,,,
SP_PC:SR_SCA,,,,,,,,,,,,,,
SP_PC:SP_AA,,,,,,,,,,,,,,
SP_PC:SP_PC,0.02,3,,,148.5,0.02,0.5,0.02,671,5,17,0.1,0.6,1.22
SP_PC:SO_BS,0.5,4.12,,,148.5,0.09,0.23,0.09,410,11,10,0.1,1.65,0.28
SP_PC:SO_OLM,0.14,1.7,,,148.5,0.02,0.09,0.12,138,830,670,0.05,0.8,0.28